Name,Skills,College,Degree,Field,Company,Position
Neha Rao,"Machine Learning, Deep Learning, Neural Networks, ML Algorithms, Python, NumPy, Scikit Learn, Matplotlib, Keras, Pandas, TensorFlow, Seaborn, Java, ReactJS, NodeJS","KTM College, Nashik (affiliated with Lucknow University), SPP University, Pune","B.Sc, MCA","Computer Science, Computers",E-Novate Labs,Intern Trainee
Arjun Chopra,"Training program implementation, Project management, Drilling engineering, Building commissioning experience, A highly motivated and energetic personality., Ability to take initiative and exhibit flexibility., Excellent customer service skills., Leadership Development Program, Hands On Training: Electrical, Pluming, Painting, Full Finish, Wall Paper, Management Training, Team Builder, Outlook Training, Excel Training, Hotsos Training, Stratton Warren MMS, Interpersonal communication skills, Demonstrated organizational/planning skills, Adaptability, Ability to translate technical specifications, Have interpersonal skills to deal effectively with all business contacts.",El Dorado High School,High School Diploma,,"Company Name, Company Name, Company Name","Engineering Supervisor, Engineering Assistance Supervisor, Sky Cap"
Diya Gupta,"advertising, competitive, content, contracts, customer satisfaction, customer service, customer support, fashion, fast, functional, marketing strategies, marketing, market, marketing material, networking, payroll, progress, promotion, quality, selling, sales, script, strategic, telephone, phone, training manuals",Mesa High School,High School Diploma,,"Company Name, Company Name, Company Name, Company Name","Business Development Manager, Event Manager, Customer Service Call Center Manager, Customer Service Representative / Call Center"
Diya Jain,"Testing, Troubleshooting, Embedded Hardware & Software, Microprocessors, Computer systems, Hardware & Software design, Digital signal processing, Analog and Digital Filter design, Reading Circuit Schematics, Circuit Design and Analysis, Digital logic, Soldering, Project management, Electronics, Low and High voltage devices, Low voltage power consumption, Power Systems Analysis, Active Noise Cancelling (ANC), Research and Development, Solar PV systems Design, NationalElectric Code (NEC), Engineering Ethics, Failure Analysis, Logistics, Oscilloscope, Logic analyzer, Multimeters, MS Visual Studio, MS Office, MAC OS, Matlab, Simulink, Mathcad, Verilog, Orcad, PSPICE, SolidWorks, AutoCAD, Inventor, PowerWorld, ETAP, HelioScope, C++, C#, C languages","Oklahoma Christian University, Oklahoma Christian University","Master of Science, Bachelor of Science","Engineering Electrical Engineering, Electrical Engineering","Company Name, Company Name, Company Name","N/A, N/A, Engineering Intern"
Sara Sharma,"Marketing, Sales, Budgets, Promotional, And Marketing, Sales And, Aviation, Class, Comprehensive Large Array Data Stewardship System, Excellent Multitasker, Simultaneous, Teaching, Training, Accounts And, Advertising, Branding, Community Outreach, From Sales, Its, Managed Sales, Of Sales, Public Relations, Increase, Administrative Support, Audit, Budgeting, Cost Control, Executive Assistant, For Selling, Ordering, Relationship Management, Scheduling, Selling And, Accountable For, Business Development, Clients, Forecasting, Implemented Sales, Key Accounts, Maintenance, Market Trends, Networking, Sale And, Sales Forecasting, Sales Objectives, Sales Strategies, Strategic Planning, The Sale, The Sales, Direct Marketing, Marketing Plan, Overall Sales, Project Development, Sales Plan, Energetic, Fundraising, Highly Organized, Mac, Quicken, San, Self Motivated, Storage Area Network, Very Organized, Finance, Shipping","CITY UNIVERSITY BUSINESS SCHOOL, THE UNIVERSITY OF HULL","MSc, BA (Honors)","Shipping, Trade and Finance, French and Italian","Company Name, Company Name, Company Name, Company Name","Business Development Manager, Sales and Marketing Manager, VP Sales and Marketing, Executive Assistant"
Ananya Nair,"Machine learning, Data science, PowerBI, Data visualisation, Data Mining, Data Modelling, Data Extraction, Text Analysis, Natural Language Processing",JIoT Belemundi,B.Tech,,Invictus Qualis,
Vihaan Chopra,"account reconciliation, accounting, accounts payable, accruals, accrual, balance sheet, Balance, balance sheets, bank reconciliation, benefits, billing, budgeting, COBOL, Computer Programming, corporate accounting, credit, dialysis, documentation, senior management, expense reports, finance, financial, financial reports, financial statements, fixed assets, general ledger, insurance, letters, Access, Excel, money, PowerPoint, Word, month-end closing, month end close, primary care, processes, profit and loss, real estate, reporting, sales, SAP, settlements, tax, taxes, treasury, year-end","Gujarat University, Triton College in River Grove, IL","Master degree, N/A","Accounting, Computer Programming in COBOL language","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Staff Accountant/ Lease Administrator, Assistant Claim Approver, Proof Operator, Billing Associate, Account Receivable Clerk"
Aditya Patel,"Academic, Documentation, Edge, Fiber optics, Laser, Mechanical, Scanning","University of Washington, National Taiwan University, National Central University Taiwan","Ph. D, M. S, B. S","Mechanical Engineering, Bio-Industrial Mechatronics Engineering, Mechanical Engineering","N/A, N/A, N/A","Process Engineering Intern, Research Assistant, Graduate Researcher"
Karan Nair,"Training program implementation, Project management, Drilling engineering, Building commissioning experience, A highly motivated and energetic personality., Ability to take initiative and exhibit flexibility., Excellent customer service skills., Leadership Development Program, Hands On Training: Electrical, Pluming, Painting, Full Finish, Wall Paper, Management Training, Team Builder, Outlook Training, Excel Training, Hotsos Training, Stratton Warren MMS, Interpersonal communication skills, Demonstrated organizational/planning skills, Adaptability, Ability to translate technical specifications, Have interpersonal skills to deal effectively with all business contacts.",El Dorado High School,High School Diploma,,"Company Name, Company Name, Company Name","Engineering Supervisor, Engineering Assistance Supervisor, Sky Cap"
Vikram Sinha,"Adobe Captivate, Blackboard, Business Objects, Clarity, Cerner, DOORS, eCHIMP, Eclipsys, EHRs, EPIC, HBOC, MACESS, IDX, I-MAX, FACET, HEAT, SQL Server 2005, Cognos, ER/Studio, Mini-tab, Oracle, SAS, SharePoint Foundation 2007/2010, SPSS, pcAnywhere, Excel, Word, One Note, Outlook, Power Point, Project, SharePoint, Visio","NOVA SOUTHEASTERN UNIVERSITY, BRENAU UNIVERSITY, NORFOLK STATE UNIVERSITY, TIDEWATER COMMUNITY COLLEGE","Masters of Business Administration, Attending, Bachelor of Science, Associate of Science","Project Management, Project Management, Management Information Systems, Business Administration","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Manager Engineering Manufacturing Systems Engineering Manager, Manager Engineering Process Initiatives Manager, Manager Engineering Process Manager, Business Process Analyst, Applications Specialist, Business Systems Analyst, Information Architect"
Aisha Rao,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Arjun Nair,"Army, basic, bridges, inspection, Inspects, Marconi, Office, Radar, multi-meters, oscilloscopes, personnel, radio, Read, Safety, signal generators, Telephone, troubleshooting, VHF","University of *Strong Vincent HS, Intermediate Electronic Principles, Keesler AFB, MS, *Telephone Central Office Repair, *HAZMAT Familiarization/Safety Transport, *Forward Area Alerting Radar Repairer","Diploma, N/A, N/A, N/A, N/A","N/A, N/A, N/A, N/A, N/A","Company Name, Company Name, Company Name","Construction Engineering Supervisor, Combat Engineer, Combat Engineer"
Krishna Kumar,"SolidWorks 2005, Electrical drafting, Tube furnaces, administrative, cash receipts, customer service, directing, instruction, inventory, leadership, logistics, machinery, marketing, mentoring, natural gas, organizing, personnel, police, progress, promotion, proposals, quality, quality control, reading, reconciling, risk management, safety, sales, supervisory, supervision",LOUISIANA STATE UNIVERSITY,Bachelor of Science,Petroleum Engineering,"Company Name, Company Name, Company Name, Company Name","Engineering Intern, Field Engineering Intern, Assistant Service Manager, Non-Commissioned Officer"
Neha Chopra,"Data Science, Machine Learning, Business Analysis, Business Analytics, Data Analysis, Data Analytics","RCC IT, Kolkata, Praxis School of Business, Kolkata","B.Tech, MBa","Computer Science, N/A",IRRM International,Junior Analyst Expert
Vihaan Bose,"C, SQL, Python, R, Tableau, HP ALM Quality center, HP QTP, MS office, Trello, Streak CRM, automation tools, business processes, Chemistry, CRM, client, English, event management, functional, HP, image, team lead, machinery, Mathematics, Oil, developer, Physics, Programming, progress, Project management, Quick Test Professional, Quality, quality assurance, simulation, VB script","Syracuse University, Thapar University, Delhi Public School","N/A, B.E, Class XII","N/A, Chemical Engineering, N/A","N/A, N/A, N/A","Software Engineering Analyst, Software Engineering Analyst, Associate Software Engineer"
Kabir Reddy,"streamline, approach, balance sheet, bonds, budgeting, business development, cash flow, clinical research, clinical trials, com, consulting, corporate finance, CRM, database, email, English, equities, Fast, financials, financing, financial, fundraising, funds, graphical user interface, information systems, Innovation, inventory, marketing, network, neural, next, presentations, Speaker, sales, scientific, Spanish, strategy, strategic, websites","McCallum Graduate School at Bentley University, Bentley University","Masters in Finance, Bachelor of Science","Finance, Economics & Finance","PainQx, LSN, Abpro","VP of Business Development, Co-Founder VP of Business Development, N/A"
Aditya Malhotra,"Microsoft applications, Excellent writing skills, Research support, Analytical skills, Accounting, billing, C programming, closing, consultant, Consulting, credit, Client, clients, customer care, data entry, database, debit, delivery, documentation, editing, Senior Management, fetch, filing, Financial, Forms, Full Life Cycle, funds, General Ledger accounts, legal, managing, Excel, office, Windows, Microsoft Word, month-end closing, Oracle, Oracle database, Designer 2000, Developer, OS/2, processing payments, policies, processes, proposals, Quality assurance, read, real estate, reporting, requirement, Sales, scheduling, scripts, Solomon, SQL, System Integration, tables, Tax accounting, Tax, tax returns, Technical documentation, telephone, upgrades, utilities","Kings College, South Carolina State University","Diploma, Bachelor of Science","Accounting, Computer Science","Company Name, Company Name, Company Name, Company Name, Company Name","Staff Accountant, Financial Aid Accounting Administrator, Customer Care Consultant, Computer Programmer, Computer Programmer Analyst"
